ts,cpu_pct,rss_mb,threads,disk_read_mb_s,disk_write_mb_s,fs_free_gb,wal_mb,duckdb_mb,records_total,ingest_lag_mb,wal_depth
1790067124.823492534,150.0,238,104,0.00,7.99,147,251,71,1034325,1.3,35
1790067125.875759296,123.5,248,104,0.00,8.60,147,253,71,1042905,1.8,55
1790067126.935109437,124.6,259,104,0.00,7.58,147,255,71,1051675,1.7,75
1790067127.995517649,124.5,273,104,0.00,7.92,147,257,71,1060720,0.9,90
1790067129.047657746,121.7,282,104,0.00,7.92,147,259,71,1069470,3.0,45
1790067130.110089854,128.0,291,104,0.00,7.63,147,262,71,1079020,5.3,75
1790067131.161249648,124.6,295,104,0.00,9.19,147,264,71,1088395,7.6,140
1790067132.209222824,158.4,320,104,0.13,8.16,147,266,71,1098055,9.9,115
1790067133.269487107,121.7,338,104,0.00,15.58,147,269,71,1107240,12.2,80
1790067134.323088413,142.4,343,104,0.00,6.92,147,271,71,1116375,14.4,115
1790067135.379510930,120.2,347,104,0.00,8.07,147,273,71,1125220,16.5,45
1790067136.432500687,117.8,349,104,0.00,7.68,147,275,71,1134375,18.7,110
1790067137.483874936,115.1,353,104,0.00,9.82,147,277,71,1143280,20.9,115
1790067138.550091283,116.3,356,104,0.00,7.29,147,279,71,1151795,23.0,50
1790067139.609448059,122.7,361,104,0.00,8.58,147,282,71,1161145,25.2,115
1790067140.669227212,124.6,372,104,0.00,7.27,147,284,71,1170885,27.6,15
1790067141.728176350,238.0,341,104,0.00,6.94,147,286,73,1180375,29.9,0
1790067142.781676826,194.6,385,104,0.00,32.21,147,289,82,1189300,32.0,65
1790067143.844767341,154.3,396,104,0.00,8.85,147,291,82,1198005,34.1,90
1790067144.905235891,127.3,406,104,0.00,8.32,147,293,82,1206375,36.2,35
1790067145.962604721,175.9,434,104,0.00,9.31,147,295,82,1215215,38.3,70
1790067147.022073601,122.7,442,104,0.00,8.41,147,297,82,1224145,40.5,20
1790067148.082833439,120.7,451,104,0.00,7.93,147,299,82,1233590,42.8,55
1790067149.137978109,124.2,459,104,0.00,7.76,147,301,82,1242480,44.9,60
1790067150.192913535,124.2,466,104,0.00,7.75,147,304,82,1251420,47.1,85
1790067151.246219778,162.3,256,104,0.00,16.70,147,306,82,1260065,49.2,40
1790067152.310919755,124.9,271,104,0.00,7.90,147,308,82,1268465,51.2,65
1790067153.369596328,112.4,281,104,0.00,7.24,147,310,82,1276965,53.3,80
1790067154.439813867,114.9,290,104,0.00,7.61,147,312,82,1286450,55.6,130
1790067155.497897773,125.7,299,104,0.06,8.03,147,314,82,1295690,57.8,0
1790067156.562810699,122.1,302,104,0.00,8.20,147,316,82,1304850,60.0,55
1790067157.621171069,119.1,309,104,0.00,7.68,147,319,82,1313585,62.1,80
1790067158.681973821,116.0,319,104,0.00,8.33,147,321,82,1322420,64.3,50
1790067159.746707137,55.4,250,104,0.00,0.92,147,321,82,1322705,64.4,0
1790067160.819961728,7.5,250,104,0.00,0.02,147,321,82,1322705,64.4,0
1790067161.884383751,8.5,250,104,0.00,0.34,147,321,82,1322705,64.4,0
1790067162.957944389,8.4,250,104,0.00,0.48,147,321,82,1322705,64.4,0
1790067164.036427847,8.3,250,104,0.00,0.03,147,321,82,1322705,64.4,0
1790067165.111263702,7.4,250,104,0.00,0.13,147,321,82,1322705,64.4,0
1790067166.182262282,7.5,250,105,0.00,0.32,147,321,82,1322705,64.4,0
1790067167.258461647,6.5,250,105,0.00,0.15,147,321,82,1322705,64.4,0
1790067168.336444159,7.4,250,105,0.00,0.32,147,321,82,1322705,64.4,0
1790067169.413316250,7.4,250,105,0.00,0.02,147,321,82,1322705,64.4,0
1790067170.495438816,8.3,250,106,0.00,0.01,147,321,82,1322705,64.4,0
1790067171.577453289,6.5,250,106,0.00,0.13,147,321,82,1322705,64.4,0
1790067172.645618228,6.6,250,107,0.00,0.31,147,321,82,1322705,64.4,0
1790067173.709587918,7.5,250,107,0.00,0.15,147,321,82,1322705,64.4,0
1790067174.778518357,6.5,250,107,0.00,0.02,147,321,82,1322705,64.4,0
1790067175.850612667,8.4,250,107,0.00,0.11,147,321,82,1322705,64.4,0
1790067176.926156869,7.4,250,107,0.00,0.09,147,321,82,1322705,64.4,0
1790067178.004169553,6.5,250,107,0.00,0.39,147,321,82,1322705,64.4,0
1790067179.075004184,7.5,250,107,0.00,0.21,147,321,82,1322705,64.4,0
1790067180.152518820,8.4,250,107,0.00,0.17,147,321,82,1322705,64.4,0
1790067181.213871599,6.6,250,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067182.289450081,8.4,250,107,0.00,0.16,147,321,82,1322705,64.4,0
1790067183.357420323,7.5,250,107,0.00,0.00,147,321,82,1322705,64.4,0
1790067184.442299900,6.5,250,107,0.00,0.19,147,321,82,1322705,64.4,0
1790067185.515931753,7.5,250,107,0.00,0.52,147,321,82,1322705,64.4,0
1790067186.587500219,8.4,250,107,0.00,0.00,147,321,82,1322705,64.4,0
1790067187.658897185,8.4,250,107,0.00,0.00,147,321,82,1322705,64.4,0
1790067188.727868761,7.5,250,107,0.00,0.18,147,321,82,1322705,64.4,0
1790067189.805314918,8.4,250,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067190.882116550,7.4,250,107,0.00,0.16,147,321,82,1322705,64.4,0
1790067191.947543405,8.4,250,107,0.00,1.21,147,321,82,1322705,64.4,0
1790067193.020719314,7.5,250,107,0.00,0.28,147,321,82,1322705,64.4,0
1790067194.098907458,7.4,250,107,0.00,0.03,147,321,82,1322705,64.4,0
1790067195.172076891,7.5,250,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067196.253082113,8.3,250,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067197.338798428,9.2,250,107,0.00,0.65,147,321,82,1322705,64.4,0
1790067198.402620137,7.5,250,107,0.00,0.28,147,321,82,1322705,64.4,0
1790067199.480052841,8.4,250,107,0.06,0.01,147,321,82,1322705,64.4,0
1790067200.546277907,8.4,250,107,0.00,0.18,147,321,82,1322705,64.4,0
1790067201.620058256,8.4,250,107,0.00,0.21,147,321,82,1322705,64.4,0
1790067202.690754813,8.4,250,107,0.00,0.51,147,321,82,1322705,64.4,0
1790067203.758411561,8.4,250,107,0.00,1.05,147,321,82,1322705,64.4,0
1790067204.825260586,8.4,250,107,0.17,0.61,147,321,82,1322705,64.4,0
1790067205.898513713,22.4,256,107,0.00,0.33,147,321,82,1322705,64.4,0
1790067206.981489140,8.3,256,107,0.00,0.04,147,321,82,1322705,64.4,0
1790067208.052048574,8.4,256,107,0.00,0.35,147,321,82,1322705,64.4,0
1790067209.137357386,8.3,256,107,0.00,0.16,147,321,82,1322705,64.4,0
1790067210.210765455,9.3,256,107,0.00,0.66,147,321,82,1322705,64.4,0
1790067211.277434943,8.4,256,107,0.00,0.02,147,321,82,1322705,64.4,0
1790067212.345380956,8.4,256,107,0.00,0.18,147,321,82,1322705,64.4,0
1790067213.422553215,8.4,256,107,0.53,0.00,147,321,82,1322705,64.4,0
1790067214.496229419,9.3,256,107,0.00,0.16,147,321,82,1322705,64.4,0
1790067215.575039209,7.4,256,107,0.00,0.20,147,321,82,1322705,64.4,0
1790067216.655194555,7.4,256,107,0.00,0.16,147,321,82,1322705,64.4,0
1790067217.725328781,8.4,256,107,0.00,0.07,147,321,82,1322705,64.4,0
1790067218.797455396,7.5,256,107,0.00,0.14,147,321,82,1322705,64.4,0
1790067219.870333968,8.4,256,107,0.00,0.06,147,321,82,1322705,64.4,0
1790067220.935842132,7.5,256,107,0.00,0.23,147,321,82,1322705,64.4,0
1790067222.004417588,7.5,256,107,0.00,0.05,147,321,82,1322705,64.4,0
1790067223.086365310,8.3,256,107,0.00,0.43,147,321,82,1322705,64.4,0
1790067224.162274118,7.4,256,107,3.01,0.01,147,321,82,1322705,64.4,0
1790067225.242335794,7.4,256,107,0.00,0.00,147,321,82,1322705,64.4,0
1790067226.310513951,8.4,256,107,0.00,0.15,147,321,82,1322705,64.4,0
1790067227.373743500,7.5,256,107,0.00,0.08,147,321,82,1322705,64.4,0
1790067228.443863975,7.5,256,107,0.00,0.24,147,321,82,1322705,64.4,0
1790067229.516356918,8.4,256,107,0.00,0.69,147,321,82,1322705,64.4,0
1790067230.593741562,7.4,256,107,0.00,0.09,147,321,82,1322705,64.4,0
1790067231.671510089,7.4,256,107,0.00,0.04,147,321,82,1322705,64.4,0
1790067232.741836547,7.5,256,107,0.00,0.23,147,321,82,1322705,64.4,0
1790067233.816962023,6.5,256,107,0.00,0.48,147,321,82,1322705,64.4,0
1790067234.882134697,8.4,256,107,0.00,0.44,147,321,82,1322705,64.4,0
1790067235.957716928,8.4,256,107,0.00,0.17,147,321,82,1322705,64.4,0
1790067237.028607639,8.4,256,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067238.110418673,7.4,256,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067239.185051410,7.4,256,107,0.00,0.15,147,321,82,1322705,64.4,0
1790067240.259584813,8.4,256,107,0.00,0.16,147,321,82,1322705,64.4,0
1790067241.333018534,7.5,256,107,0.00,0.33,147,321,82,1322705,64.4,0
1790067242.417264194,6.5,256,107,0.00,0.02,147,321,82,1322705,64.4,0
1790067243.488167370,8.4,256,107,0.00,0.31,147,321,82,1322705,64.4,0
1790067244.565129075,6.5,256,107,0.00,0.22,147,321,82,1322705,64.4,0
1790067245.639616822,8.4,256,107,0.00,0.63,147,321,82,1322705,64.4,0
1790067246.711659385,6.5,256,107,0.00,0.07,147,321,82,1322705,64.4,0
1790067247.786839739,7.4,256,107,0.00,0.10,147,321,82,1322705,64.4,0
1790067248.865281484,7.4,256,107,0.00,0.35,147,321,82,1322705,64.4,0
1790067249.931392323,7.5,256,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067251.003455635,6.5,256,107,0.00,0.85,147,321,82,1322705,64.4,0
1790067252.081907932,7.4,256,107,0.00,0.54,147,321,82,1322705,64.4,0
1790067253.165887506,7.4,256,107,0.00,0.30,147,321,82,1322705,64.4,0
1790067254.236339715,7.5,256,107,0.00,0.31,147,321,82,1322705,64.4,0
1790067255.314258815,7.4,256,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067256.391939621,7.4,256,107,0.00,0.03,147,321,82,1322705,64.4,0
1790067257.465961777,7.4,256,107,0.00,0.53,147,321,82,1322705,64.4,0
1790067258.547739337,7.4,256,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067259.621304620,7.5,256,107,0.00,0.20,147,321,82,1322705,64.4,0
1790067260.688559300,6.6,256,107,0.00,0.02,147,321,82,1322705,64.4,0
1790067261.760314756,7.5,256,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067262.829778134,7.5,256,107,0.00,0.69,147,321,82,1322705,64.4,0
1790067263.905720708,7.4,256,107,0.00,1.03,147,321,82,1322705,64.4,0
1790067264.977876663,8.4,256,107,0.04,0.01,147,321,82,1322705,64.4,0
1790067266.056074278,11.1,257,107,0.00,0.24,147,321,82,1322705,64.4,0
1790067267.130382613,8.4,257,107,0.00,0.02,147,321,82,1322705,64.4,0
1790067268.208852271,7.4,257,107,0.00,0.92,147,321,82,1322705,64.4,0
1790067269.282311980,8.4,257,107,0.00,0.18,147,321,82,1322705,64.4,0
